GeneID,GeneName,p-value,log2FC
ENSG00000011523,CEP68,0.945489328,0
ENSG00000011566,MAP4K3,0.787304193,0.1
ENSG00000011590,ZBTB32,0.66986266,0.7
ENSG00000011600,TYROBP,1,0
ENSG00000011638,TMEM159,0.310186057,0.3
ENSG00000011677,GABRA3,1.31e-05,-4.4
ENSG00000012048,BRCA1,0.254196671,-0.5
ENSG00000012061,ERCC1,2.28e-08,-1.4
ENSG00000012124,CD22,7.23e-09,5.2
ENSG00000012171,SEMA3B,1.09e-12,4.8
ENSG00000012174,MBTPS2,0.86247551,0
ENSG00000012211,PRICKLE3,0.001287293,1.3
ENSG00000012223,LTF,0.210314431,1.7
ENSG00000012232,EXTL3,0.534515837,0.2
ENSG00000012504,NR1H4,1,0.6
ENSG00000012660,ELOVL5,0.016899203,-0.5
ENSG00000012779,ALOX5,1,-0.1
ENSG00000012817,KDM5D,1,0
ENSG00000012822,CALCOCO1,0.001693081,1.2
ENSG00000012963,UBR7,0.807385642,0.1
ENSG00000012983,MAP4K5,0.052462794,-0.4
ENSG00000013016,EHD3,0.81462198,-0.1
ENSG00000013275,PSMC4,0.247450834,-0.4
ENSG00000013288,MAN2B2,0.432263103,0.3
ENSG00000013293,SLC7A14,1,4.7
ENSG00000013297,CLDN11,0.010149226,-1.2
ENSG00000013306,SLC25A39,0.925878088,0
ENSG00000013364,MVP,0.015802813,0.9
ENSG00000013374,NUB1,0.009331606,-0.6
ENSG00000013375,PGM3,0.020427701,0.5
ENSG00000013392,RWDD2A,2.3e-05,1.6
ENSG00000013441,CLK1,0.251980836,-0.3
ENSG00000013503,POLR3B,0.00319336,-0.8
ENSG00000013523,ANGEL1,0.64830913,-0.1
ENSG00000013561,RNF14,0.097009121,-0.4
ENSG00000013563,DNASE1L1,0.021121742,0.9
ENSG00000013573,DDX11,0.313136856,-0.5
ENSG00000013583,HEBP1,0.824250572,0.1
ENSG00000013588,GPRC5A,6.54e-17,3
ENSG00000013619,MAMLD1,0.000125271,-0.9
ENSG00000013725,CD6,1,1.2
ENSG00000013810,TACC3,0.018206571,-1
ENSG00000014123,UFL1,0.110873863,0.4
ENSG00000014138,POLA2,0.965987791,0
ENSG00000014164,ZC3H3,0.965278328,0
ENSG00000014216,CAPN1,0.001071709,1.2
ENSG00000014257,ACPP,4.89e-09,5.5
ENSG00000014641,MDH1,0.128312613,-0.4
ENSG00000014824,SLC30A9,0.513606327,-0.3
ENSG00000014914,MTMR11,0.479362422,0.2
ENSG00000014919,COX15,0.682324981,0.1
ENSG00000015133,CCDC88C,0.834363049,-0.2
ENSG00000015153,YAF2,0.105376599,0.4
ENSG00000015171,ZMYND11,0.004064537,-0.7
ENSG00000015285,WAS,0.154985231,1.8
ENSG00000015413,DPEP1,1,0.6
ENSG00000015475,BID,1.94e-09,2.1
ENSG00000015520,NPC1L1,0.00666637,2.9
ENSG00000015532,XYLT2,0.645642373,-0.2
ENSG00000015568,RGPD5,1,0.3
ENSG00000015592,STMN4,1,0.7
ENSG00000015676,NUDCD3,0.012224394,-0.5
ENSG00000016082,ISL1,1,1.4
ENSG00000016391,CHDH,6.04e-06,4.4
ENSG00000016402,IL20RA,0.000473597,4.1
ENSG00000016490,CLCA1,1,0.2
ENSG00000016602,CLCA4,1,0.4
ENSG00000016864,GLT8D1,0.011690552,-0.6
ENSG00000017260,ATP2C1,0.104698797,-0.4
ENSG00000017427,IGF1,1,-0.3
ENSG00000017483,SLC38A5,0.010287325,2.5
ENSG00000017797,RALBP1,0.005538216,-0.7
ENSG00000018189,RUFY3,0.38186585,0.4
ENSG00000018236,CNTN1,0.231582625,1.7
ENSG00000018280,SLC11A1,0.062665257,2
ENSG00000018408,WWTR1,0.61605512,-0.2
ENSG00000018510,AGPS,0.678540506,-0.1
ENSG00000018610,CXorf56,0.045677033,-0.5
ENSG00000018625,ATP1A2,0.003800486,3.3
ENSG00000018699,TTC27,0.083743415,-0.5
ENSG00000018869,ZNF582,0.00054036,1.8
ENSG00000019102,VSIG2,1,0.2
ENSG00000019144,PHLDB1,0.002172836,1
ENSG00000019169,MARCO,1,0.6
ENSG00000019186,CYP24A1,0.160351725,1.5
ENSG00000019485,PRDM11,9.83e-08,2.4
ENSG00000019505,SYT13,0.006404953,3.4
ENSG00000019549,SNAI2,0.086899986,-0.7
ENSG00000019582,CD74,4.18e-20,6.2
ENSG00000019991,HGF,1,2.4
ENSG00000019995,ZRANB1,0.896303576,0.1
ENSG00000020129,NCDN,0.871342329,0.1
ENSG00000020181,ADGRA2,0.00044879,-1
ENSG00000020219,CCT8L1P,1,0
ENSG00000020256,ZFP64,0.00161043,-0.8
ENSG00000020426,MNAT1,0.573081646,0.2
ENSG00000020577,SAMD4A,0.552995804,0.2
ENSG00000020633,RUNX3,5.85e-41,6.6
ENSG00000020922,MRE11,0.030714308,-0.6
ENSG00000021300,PLEKHB1,0.060353493,2.4
ENSG00000021355,SERPINB1,0.169385011,0.5
ENSG00000021461,CYP3A43,1,0.5
ENSG00000021488,SLC7A9,1,0.7
ENSG00000021574,SPAST,0.002741985,-0.7
ENSG00000021645,NRXN3,0.196663003,1.9
ENSG00000021762,OSBPL5,4.23e-06,1.4
ENSG00000021776,AQR,0.478315672,0.2
ENSG00000021826,CPS1,6.1e-13,-2.1
ENSG00000021852,C8B,1,0
ENSG00000022267,FHL1,0.148103049,-0.8
ENSG00000022277,RTF2,0.004248839,-0.6
ENSG00000022355,GABRA1,1,0.5
ENSG00000022556,NLRP2,1,0.2
ENSG00000022567,SLC45A4,4.5e-16,5.4
ENSG00000022840,RNF10,0.12600699,0.5
ENSG00000022976,ZNF839,0.080396782,0.6
ENSG00000023041,ZDHHC6,0.845099183,-0.1
ENSG00000023171,GRAMD1B,3.04e-16,4.3
ENSG00000023191,RNH1,0.006443786,1.2
ENSG00000023228,NDUFS1,0.282550705,-0.3
ENSG00000023287,RB1CC1,0.381039688,-0.3
ENSG00000023318,ERP44,0.005620643,0.5
ENSG00000023330,ALAS1,0.002843801,0.7
ENSG00000023445,BIRC3,9.49e-12,4
ENSG00000023516,AKAP11,0.429720071,0.2
ENSG00000023572,GLRX2,0.944113679,0
ENSG00000023608,SNAPC1,7.62e-11,1.3
ENSG00000023697,DERA,0.731090733,-0.1
ENSG00000023734,STRAP,0.501239601,-0.2
ENSG00000023839,ABCC2,0.575661701,0.4
ENSG00000023892,DEF6,7.06e-05,3.6
ENSG00000023902,PLEKHO1,0.013801376,0.7
ENSG00000023909,GCLM,0.61339702,0.2
ENSG00000024048,UBR2,0.731090733,0.1
ENSG00000024422,EHD2,4.57e-14,-1.8
ENSG00000024526,DEPDC1,0.011133978,-0.9
ENSG00000024862,CCDC28A,0.999357404,0
ENSG00000025039,RRAGD,1.41e-22,7.1
